Series Name,Series Code,Country Name,Country Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Ghana,GHA,0.792417084313167,0.866764326525345,0.899494854007063,0.906278970038227,0.91645177271303,0.935247845574802,1.05785833333333,1.4088,1.431025,1.51185,1.79581666666667,1.95405,..,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Greece,GRC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Grenada,GRD,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Guatemala,GTM,7.821645,7.94084666666667,7.94649583333333,7.63394416666667,7.60263083333333,7.67330416666667,7.56002833333333,8.16155541666667,8.05777083333333,7.78541833333333,7.83360541666667,7.85681375,7.73223333333333,7.654815,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Guinea,GIN,1975.84375,1984.93125,2243.93125,3644.33333333333,5148.75,4197.75200416667,4601.69100416667,4801.0832375,5726.07102083333,6658.03125833333,6985.82902633333,6907.8780695,7014.11877725,7485.51674166667,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Guinea-Bissau,GNB,696.988203611667,581.200313864167,528.284809305,527.46814284,522.890109610833,479.2667825875,447.805255560773,472.186290754893,495.277021572396,471.8661140917,510.52713590197,494.04003744699,494.414952864937,591.449507501328,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Guyana,GUY,190.665,193.878333333333,198.3075,199.875,200.188333333333,202.346666666667,203.633333333333,203.95,203.635833333333,204.0175,204.358333333333,205.394166666667,206.449166666667,206.5,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Haiti,HTI,29.2504833333333,42.3667583333333,38.3520333333333,40.44855,40.4085166666667,36.8614166666667,39.1075916666667,41.1976083333333,39.7974,40.5228219393744,41.9497229523156,43.4627833333333,45.2159808923792,50.7064266739439,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Honduras,HND,16.4333833333333,17.3452916666667,18.2062207142857,18.8323416666667,18.8952083333333,18.8951,18.9037583333333,18.8951,18.8951,18.9171416666667,19.5022495121615,..,..,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,"Hong Kong SAR, China",HKG,7.79891666666667,7.78675,7.788,7.77733333333333,7.76783333333333,7.80141666666667,7.78683333333333,7.75175,7.76916666666667,7.784,7.75641666666667,7.756,7.75408333333333,7.75175,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Hungary,HUN,257.886666666667,224.306666666667,202.745833333333,199.5825,210.39,183.625833333333,172.113333333333,202.341666666667,207.944166666667,201.055,225.104166666667,223.695,232.601666666667,279.3325,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Iceland,ISL,91.6616666666667,76.7089825,70.1916666666667,62.9816666666667,70.18,64.055,87.9479166666667,123.638381413044,122.241811205165,115.954039762284,125.082787013769,122.179121320458,116.767352506899,131.918708431432,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,India,IND,48.6103191666667,46.5832841666667,45.3164666666667,44.099975,45.3070083333333,41.3485333333333,43.5051833333333,48.4052666666667,45.7258121212121,46.6704666666667,53.4372333333333,58.5978454166667,61.0295144607843,64.1519444632786,..
